x,y,z
-0.703270109,0.691232936,-3.83E-05
-0.709410819,0.685035159,-3.80E-05
-0.715496806,0.678784539,-3.76E-05
-0.721527611,0.672481568,-3.72E-05
-0.727502782,0.666126745,-3.68E-05
-0.733421872,0.659720573,-3.64E-05
-0.739284438,0.653263556,-3.60E-05
-0.745090042,0.646756205,-3.56E-05
-0.75083825,0.640199034,-3.52E-05
-0.756528634,0.633592558,-3.48E-05
-0.76216077,0.626937301,-3.44E-05
-0.76773424,0.620233785,-3.40E-05
-0.773248629,0.61348254,-3.36E-05
-0.778703528,0.606684096,-3.32E-05
-0.784098535,0.599838991,-3.28E-05
-0.789433249,0.592947761,-3.23E-05
-0.794707277,0.586010949,-3.19E-05
-0.799920229,0.579029102,-3.15E-05
-0.805071723,0.572002766,-3.11E-05
-0.81016138,0.564932496,-3.07E-05
-0.815188826,0.557818845,-3.02E-05
-0.820153692,0.550662373,-2.98E-05
-0.825055617,0.54346364,-2.94E-05
-0.829894241,0.536223211,-2.89E-05
